Accesion,Length,Hit_identity,Hit_score,E-value,Definition,EC number
WP_223632185,958,842,1723.37,0,formate dehydrogenase subunit alpha [Rhodobacter sp. TJ_12] >gb|MBZ4021183.1| formate dehydrogenase subunit alpha [Rhodobacter sp. TJ_12],1.17.1.9
MBD3786292,958,823,1695.63,0,formate dehydrogenase subunit alpha [Sphingomonadales bacterium],1.17.1.9
WP_097068581,958,812,1694.86,0,formate dehydrogenase subunit alpha [Rhodobacter maris] >emb|SOB94718.1| formate dehydrogenase alpha subunit [Rhodobacter maris],1.17.1.9
WP_218629876,958,813,1678.3,0,formate dehydrogenase subunit alpha [Sinirhodobacter sp. B57] >gb|MBW0157961.1| formate dehydrogenase subunit alpha [Sinirhodobacter sp. B57],1.17.1.9
WP_128155684,958,822,1675.99,0,formate dehydrogenase subunit alpha [Sinirhodobacter hungdaonensis] >gb|RWR53422.1| formate dehydrogenase subunit alpha [Sinirhodobacter hungdaonensis],1.17.1.9
WP_068766168,954,819,1675.6,0,formate dehydrogenase subunit alpha [Paenirhodobacter sp. MME-103],1.17.1.9
WP_071165436,954,818,1674.83,0,formate dehydrogenase subunit alpha [Rhodobacter sp. LPB0142] >gb|AOZ68356.1| formate dehydrogenase subunit alpha [Rhodobacter sp. LPB0142],1.17.1.9
WP_121533498,958,821,1671.37,0,formate dehydrogenase subunit alpha [Sinirhodobacter hankyongi] >gb|RLL64705.1| formate dehydrogenase subunit alpha [Sinirhodobacter hankyongi],1.17.1.9
WP_128147755,958,820,1670.98,0,formate dehydrogenase subunit alpha [Sinirhodobacter ferrireducens] >gb|RWR51384.1| formate dehydrogenase subunit alpha [Sinirhodobacter ferrireducens],1.17.1.9
RBP90911,958,819,1669.06,0,formate dehydrogenase alpha subunit [Rhodobacter sp. 140A],1.17.1.9
WP_096434050,952,804,1662.89,0,formate dehydrogenase subunit alpha [Thioclava arenosa] >gb|PCD76063.1| formate dehydrogenase subunit alpha [Thioclava arenosa],1.17.1.9
MBC7146724,961,782,1634.39,0,formate dehydrogenase subunit alpha [Thioclava marina],1.17.1.9
WP_078525170,961,781,1633.23,0,formate dehydrogenase subunit alpha [Thioclava sp. L04-15] >gb|OOY28938.1| formate dehydrogenase subunit alpha [Thioclava sp. L04-15],1.17.1.9
MBD3805045,961,780,1632.85,0,formate dehydrogenase subunit alpha [Thioclava sp.],1.17.1.9
TNF11629,961,780,1631.69,0,formate dehydrogenase subunit alpha [Rhodobacteraceae bacterium],1.17.1.9
MBN2739374,954,779,1629.38,0,formate dehydrogenase subunit alpha [Rhodobacteraceae bacterium],1.17.1.9
WP_078573591,961,778,1627.07,0,formate dehydrogenase subunit alpha [Thioclava marina] >gb|OOY13228.1| formate dehydrogenase subunit alpha [Thioclava marina],1.17.1.9
WP_038132648,954,778,1619.75,0,formate dehydrogenase subunit alpha [Thioclava indica] >gb|KEO53898.1| formate dehydrogenase subunit alpha [Thioclava indica],1.17.1.9
WP_078600623,961,778,1619.75,0,formate dehydrogenase subunit alpha [Thioclava sp. DLFJ4-1] >gb|OOY16936.1| formate dehydrogenase subunit alpha [Thioclava sp. DLFJ4-1],1.17.1.9
WP_088727395,961,775,1618.98,0,MULTISPECIES: formate dehydrogenase subunit alpha [unclassified Thioclava] >gb|OWY03303.1| formate dehydrogenase subunit alpha [Thioclava sp. IC9] >gb|OWY14419.1| formate dehydrogenase subunit alpha [Thioclava sp. F34-6],1.17.1.9
WP_038080128,961,774,1618.98,0,formate dehydrogenase subunit alpha [Thioclava pacifica] >gb|KEO50509.1| formate dehydrogenase subunit alpha [Thioclava pacifica DSM 10166],1.17.1.9
WP_078542246,961,776,1617.82,0,formate dehydrogenase subunit alpha [Thioclava sp. DLFJ5-1] >gb|OOY19300.1| formate dehydrogenase subunit alpha [Thioclava sp. DLFJ5-1],1.17.1.9
WP_088722282,961,775,1617.44,0,formate dehydrogenase subunit alpha [Thioclava sp. F42-5] >gb|OWY09573.1| formate dehydrogenase subunit alpha [Thioclava sp. F42-5],1.17.1.9
WP_075773920,961,775,1617.44,0,formate dehydrogenase subunit alpha [Thioclava nitratireducens] >gb|AQS49379.1| formate dehydrogenase subunit alpha [Thioclava nitratireducens],1.17.1.9
WP_083078344,961,776,1616.28,0,formate dehydrogenase subunit alpha [Thioclava electrotropha] >gb|QPZ92467.1| formate dehydrogenase subunit alpha [Thioclava electrotropha],1.17.1.9
WP_152843481,961,777,1615.9,0,formate dehydrogenase subunit alpha [Thioclava sp. JE_KL1] >gb|MPQ92785.1| formate dehydrogenase subunit alpha [Thioclava sp. JE_KL1],1.17.1.9
WP_078522480,961,776,1615.9,0,formate dehydrogenase subunit alpha [Thioclava sp. F28-4] >gb|OOY03781.1| formate dehydrogenase subunit alpha [Thioclava sp. F28-4],1.17.1.9
WP_088725424,961,774,1615.51,0,formate dehydrogenase subunit alpha [Thioclava sp. JM3] >gb|OWY16062.1| formate dehydrogenase subunit alpha [Thioclava sp. JM3],1.17.1.9
WP_109171605,961,774,1615.51,0,formate dehydrogenase subunit alpha [Thioclava sp. NG1] >gb|PWE51804.1| formate dehydrogenase subunit alpha [Thioclava sp. NG1],1.17.1.9
WP_078604848,961,775,1613.59,0,formate dehydrogenase subunit alpha [Thioclava sediminum] >gb|OOY24384.1| formate dehydrogenase subunit alpha [Thioclava sediminum],1.17.1.9
WP_088719514,961,774,1613.59,0,formate dehydrogenase subunit alpha [Thioclava sp. F1Mire-8] >gb|OWY03610.1| formate dehydrogenase subunit alpha [Thioclava sp. F1Mire-8],1.17.1.9
MAQ38252,961,773,1610.12,0,formate dehydrogenase subunit alpha [Thioclava sp.],1.17.1.9
WP_078549056,961,774,1609.35,0,formate dehydrogenase subunit alpha [Thioclava sp. F36-6] >gb|OOY31792.1| formate dehydrogenase subunit alpha [Thioclava sp. F36-6],1.17.1.9
WP_078569795,961,773,1605.88,0,formate dehydrogenase subunit alpha [Thioclava sp. F36-7] >gb|OOY09795.1| formate dehydrogenase subunit alpha [Thioclava sp. F36-7],1.17.1.9
WP_098412011,961,772,1593.56,0,formate dehydrogenase subunit alpha [Thioclava sp. ES.031] >gb|PFG64740.1| formate dehydrogenase major subunit [Thioclava sp. ES.031],1.17.1.9
MBW6505309,956,770,1593.56,0,formate dehydrogenase subunit alpha [Rhodobacteraceae bacterium],1.17.1.9
WP_149187064,968,757,1581.23,0,formate dehydrogenase subunit alpha [Aquicoccus porphyridii] >gb|KAA0920376.1| formate dehydrogenase subunit alpha [Aquicoccus porphyridii],1.17.1.9
MAY34364,965,754,1580.07,0,formate dehydrogenase subunit alpha [Rhodovulum sp.],1.17.1.9
RAI54832,968,756,1578.53,0,formate dehydrogenase subunit alpha [Rhodobacteraceae bacterium AsT-22],1.17.1.9
WP_122520257,957,744,1575.45,0,formate dehydrogenase subunit alpha [Pannonibacter phragmitetus],1.17.1.9
WP_119839824,958,742,1575.07,0,formate dehydrogenase subunit alpha [Pseudooceanicola algae] >gb|QPM90209.1| Putative formate dehydrogenase [Pseudooceanicola algae],1.17.1.9
PKP69128,956,762,1574.3,0,formate dehydrogenase subunit alpha [Alphaproteobacteria bacterium HGW-Alphaproteobacteria-4],1.17.1.9
TMV94870,954,762,1573.53,0,formate dehydrogenase subunit alpha [Thioclava sp. BHET1],1.17.1.9
WP_085526443,958,748,1573.14,0,formate dehydrogenase subunit alpha [Maritimibacter sp. HL-12] >emb|SMH47448.1| formate dehydrogenase alpha subunit [Maritimibacter sp. HL-12],1.17.1.9
WP_038065742,954,762,1572.37,0,formate dehydrogenase subunit alpha [Thioclava dalianensis] >gb|KEP69861.1| formate dehydrogenase [Thioclava dalianensis] >emb|SFM88130.1| formate dehydrogenase major subunit [Thioclava dalianensis],1.17.1.9
WP_058899666,959,744,1572.37,0,formate dehydrogenase subunit alpha [Pannonibacter phragmitetus] >gb|ALV28581.1| formate dehydrogenase [Pannonibacter phragmitetus],1.17.1.9
WP_224822268,966,746,1572.37,0,formate dehydrogenase subunit alpha [Pseudooceanicola nanhaiensis] >gb|MCA0922045.1| formate dehydrogenase subunit alpha [Pseudooceanicola nanhaiensis],1.17.1.9
WP_094461876,959,743,1571.99,0,formate dehydrogenase subunit alpha [Pannonibacter phragmitetus],1.17.1.9
QPI86226,965,748,1571.99,0,formate dehydrogenase subunit alpha [Rhodobacterales bacterium],1.17.1.9
WP_123194457,959,742,1571.99,0,formate dehydrogenase subunit alpha [Pannonibacter phragmitetus] >gb|MBA4207133.1| formate dehydrogenase subunit alpha [Polymorphum sp.],1.17.1.9
WP_043869175,967,747,1571.99,0,formate dehydrogenase subunit alpha [Celeribacter indicus] >gb|AJE46261.1| formate dehydrogenase subunit alpha [Celeribacter indicus] >emb|SDW51457.1| formate dehydrogenase alpha subunit [Celeribacter indicus],1.17.1.9
WP_163894364,977,744,1571.6,0,formate dehydrogenase subunit alpha [Pseudoroseicyclus tamaricis] >gb|NDV01902.1| formate dehydrogenase subunit alpha [Pseudoroseicyclus tamaricis],1.17.1.9
WP_127560172,966,742,1571.21,0,formate dehydrogenase subunit alpha [Nioella ostreopsis],1.17.1.9
MBI1417569,961,742,1571.21,0,formate dehydrogenase subunit alpha [Limimaricola sp.],1.17.1.9
WP_050473157,959,743,1570.83,0,formate dehydrogenase subunit alpha [Pannonibacter phragmitetus] >gb|KND18652.1| formate dehydrogenase [Pannonibacter phragmitetus],1.17.1.9
WP_090269044,959,743,1570.83,0,formate dehydrogenase subunit alpha [Thalassobius taeanensis] >emb|SEQ03318.1| formate dehydrogenase alpha subunit [Thalassobius taeanensis],1.17.1.9
NKI56933,959,728,1570.44,0,formate dehydrogenase subunit alpha [Labrenzia sp. PO1] >gb|QFT68359.1| Putative formate dehydrogenase [Labrenzia sp. THAF35],1.17.1.9
WP_085878135,960,750,1570.44,0,formate dehydrogenase subunit alpha [Roseisalinus antarcticus] >emb|SLN34084.1| Putative formate dehydrogenase [Roseisalinus antarcticus],1.17.1.9
WP_097029874,960,743,1570.44,0,formate dehydrogenase subunit alpha [Cereibacter ovatus] >emb|SNX69465.1| formate dehydrogenase alpha subunit [Cereibacter ovatus],1.17.1.9
AQQ06031,959,728,1569.67,0,formate dehydrogenase subunit alpha [Roseibium aggregatum],1.17.1.9
WP_018633489,964,743,1569.67,0,formate dehydrogenase subunit alpha [Neomegalonema perideroedes],1.17.1.9
WP_009805589,974,753,1569.67,0,formate dehydrogenase subunit alpha [Pseudooceanicola batsensis] >gb|EAQ04972.1| NAD-dependent formate dehydrogenase, alpha subunit [Pseudooceanicola batsensis HTCC2597],1.17.1.9
WP_088626074,965,748,1569.29,0,formate dehydrogenase subunit alpha [Oceanicola sp. 22II-s10i] >gb|OWU82972.1| formate dehydrogenase [Oceanicola sp. 22II-s10i],1.17.1.9
WP_055456490,959,743,1569.29,0,formate dehydrogenase subunit alpha [Pannonibacter indicus] >emb|CUA98872.1| formate dehydrogenase alpha subunit [Pannonibacter indicus],1.17.1.9
NKX66010,959,727,1568.9,0,formate dehydrogenase subunit alpha [Labrenzia sp. 5N],1.17.1.9
ERP93963,959,727,1568.9,0,formate dehydrogenase subunit alpha [Labrenzia sp. C1B10] >gb|ERS05212.1| formate dehydrogenase subunit alpha [Labrenzia sp. C1B70] >emb|CTQ43067.1| Putative formate dehydrogenase [Roseibium aggregatum],1.17.1.9
WP_019964737,959,741,1568.9,0,formate dehydrogenase subunit alpha [Pannonibacter phragmitetus] >emb|SUB01455.1| Putative formate dehydrogenase SA2102 [Pannonibacter phragmitetus],1.17.1.9
WP_215992731,964,744,1568.9,0,formate dehydrogenase subunit alpha [Pacificibacter marinus] >gb|MBU2937757.1| formate dehydrogenase subunit alpha [Pacificibacter marinus],1.17.1.9
WP_129681440,959,749,1568.52,0,formate dehydrogenase subunit alpha [Loktanella sp. IMCC34160] >gb|RYG92334.1| formate dehydrogenase subunit alpha [Loktanella sp. IMCC34160],1.17.1.9
WP_136394886,960,748,1568.52,0,formate dehydrogenase subunit alpha [Gemmobacter aestuarii] >gb|THD82859.1| formate dehydrogenase subunit alpha [Gemmobacter aestuarii],1.17.1.9
OLL36618,959,726,1568.52,0,formate dehydrogenase [Roseibium aggregatum],1.17.1.9
WP_123791573,964,744,1568.13,0,formate dehydrogenase subunit alpha [Pacificibacter maritimus] >gb|RPE71347.1| formate dehydrogenase alpha subunit [Pacificibacter maritimus],1.17.1.9
WP_222489088,966,746,1568.13,0,formate dehydrogenase subunit alpha [Maritimibacter alkaliphilus] >gb|MBY6088819.1| formate dehydrogenase subunit alpha [Maritimibacter alkaliphilus],1.17.1.9
WP_209009370,947,727,1568.13,0,MULTISPECIES: formate dehydrogenase subunit alpha [unclassified Labrenzia],1.17.1.9
AMN52830,959,726,1568.13,0,formate dehydrogenase [Labrenzia sp. CP4],1.17.1.9
WP_136637147,973,747,1567.75,0,formate dehydrogenase subunit alpha [Pseudooceanicola onchidii],1.17.1.9
WP_227428313,968,741,1567.75,0,formate dehydrogenase subunit alpha [Roseibaca sp. Y0-43] >gb|MCC1482493.1| formate dehydrogenase subunit alpha [Roseibaca sp. Y0-43],1.17.1.9
WP_009571550,977,749,1567.36,0,formate dehydrogenase subunit alpha [Celeribacter baekdonensis] >gb|EKE72916.1| formate dehydrogenase subunit alpha [Celeribacter baekdonensis B30],1.17.1.9
MBN8182214,959,727,1567.36,0,formate dehydrogenase subunit alpha [Roseibium aggregatum],1.17.1.9
WP_028288335,972,738,1566.98,0,formate dehydrogenase subunit alpha [Pseudooceanicola nanhaiensis] >dbj|GGM11541.1| formate dehydrogenase subunit alpha [Pseudooceanicola nanhaiensis],1.17.1.9
MCA3441998,959,746,1566.98,0,formate dehydrogenase subunit alpha [Rhodobacter sp.],1.17.1.9
WP_186393243,959,741,1566.98,0,MULTISPECIES: formate dehydrogenase subunit alpha [unclassified Pannonibacter],1.17.1.9
WP_209014762,947,726,1566.98,0,formate dehydrogenase subunit alpha [Labrenzia sp. 5N],1.17.1.9
WP_088714322,965,749,1566.59,0,MULTISPECIES: formate dehydrogenase subunit alpha [Mameliella] >gb|MBB6516484.1| formate dehydrogenase major subunit [Mameliella alba] >gb|OWV61832.1| formate dehydrogenase subunit alpha [Mameliella alba],1.17.1.9
WP_227251993,959,746,1566.59,0,formate dehydrogenase subunit alpha [Rhodobacter sp. Har01] >gb|MCB6178077.1| formate dehydrogenase subunit alpha [Rhodobacter sp. Har01],1.17.1.9
WP_208984291,947,726,1566.59,0,MULTISPECIES: formate dehydrogenase subunit alpha [Stappiaceae],1.17.1.9
WP_208997903,947,727,1566.59,0,formate dehydrogenase subunit alpha [Roseibium aggregatum],1.17.1.9
WP_043137030,965,750,1566.59,0,formate dehydrogenase subunit alpha [Mameliella alba] >gb|KHQ54696.1| Formate dehydrogenase subunit alpha [Mameliella alba],1.17.1.9
PZQ97933,959,742,1566.59,0,formate dehydrogenase subunit alpha [Cereibacter sphaeroides],1.17.1.9
MCA3446402,959,746,1565.82,0,formate dehydrogenase subunit alpha [Rhodobacter sp.],1.17.1.9
WP_209170130,947,726,1565.44,0,formate dehydrogenase subunit alpha [Labrenzia sp. R5_0] >gb|MBO9459495.1| formate dehydrogenase subunit alpha [Labrenzia sp. R5_0],1.17.1.9
WP_136337614,958,744,1565.44,0,formate dehydrogenase subunit alpha [Youngimonas vesicularis] >gb|THD76670.1| formate dehydrogenase subunit alpha [Youngimonas vesicularis],1.17.1.9
QFS99106,959,726,1565.44,0,Putative formate dehydrogenase [Labrenzia sp. THAF191b] >gb|QFT05420.1| Putative formate dehydrogenase [Labrenzia sp. THAF191a] >gb|QFT16964.1| Putative formate dehydrogenase [Labrenzia sp. THAF187b],1.17.1.9
WP_088669375,965,748,1565.44,0,formate dehydrogenase subunit alpha [Mameliella alba] >gb|MBB4029554.1| formate dehydrogenase major subunit [Mameliella alba] >gb|MBY6117720.1| formate dehydrogenase subunit alpha [Mameliella alba] >gb|OWV44491.1| formate dehydrogenase subunit alpha [Mameliella alba] >gb|OWV65098.1| formate dehydrogenase subunit alpha [Mameliella alba],1.17.1.9
WP_090061252,974,743,1565.44,0,formate dehydrogenase subunit alpha [Celeribacter neptunius] >emb|SFJ70442.1| formate dehydrogenase alpha subunit [Celeribacter neptunius],1.17.1.9
MBU1278251,977,746,1565.05,0,formate dehydrogenase subunit alpha [Alphaproteobacteria bacterium] >gb|MBU1571843.1| formate dehydrogenase subunit alpha [Alphaproteobacteria bacterium] >gb|MBU2079920.1| formate dehydrogenase subunit alpha [Alphaproteobacteria bacterium] >gb|MBU2162694.1| formate dehydrogenase subunit alpha [Alphaproteobacteria bacterium] >gb|MBU2244109.1| formate dehydrogenase subunit alpha [Alphaproteobacteria bacterium],1.17.1.9
WP_208993567,947,725,1565.05,0,formate dehydrogenase subunit alpha [Labrenzia sp. CP4],1.17.1.9
WP_222267243,965,745,1564.67,0,formate dehydrogenase subunit alpha [Pseudooceanicola nitratireducens] >gb|MBY6158059.1| formate dehydrogenase subunit alpha [Pseudooceanicola nitratireducens],1.17.1.9
WP_209017966,947,726,1564.67,0,formate dehydrogenase subunit alpha [Roseibium aggregatum],1.17.1.9
WP_208992488,947,725,1564.67,0,formate dehydrogenase subunit alpha [Roseibium aggregatum],1.17.1.9
WP_167645789,964,742,1564.28,0,formate dehydrogenase subunit alpha [Phaeobacter sp. HF9A] >gb|NIZ15134.1| formate dehydrogenase subunit alpha [Phaeobacter sp. HF9A],1.17.1.9
WP_186398243,956,750,1564.28,0,formate dehydrogenase subunit alpha [Stappia sp. P2PMeth1],1.17.1.9
MBI1170236,959,736,1564.28,0,formate dehydrogenase subunit alpha [bacterium],1.17.1.9
WP_167644830,965,748,1564.28,0,formate dehydrogenase subunit alpha [Mameliella alba],1.17.1.9
WP_186396684,956,749,1563.9,0,formate dehydrogenase subunit alpha [Stappia sp. TSB10GB4],1.17.1.9
WP_216004374,973,750,1563.51,0,formate dehydrogenase subunit alpha [Citreicella sp. C3M06] >gb|MBU2961871.1| formate dehydrogenase subunit alpha [Citreicella sp. C3M06],1.17.1.9
OUS22906,960,740,1563.51,0,formate dehydrogenase subunit alpha [Rhodobacterales bacterium 59_46_T64],1.17.1.9
WP_172428945,965,747,1563.13,0,formate dehydrogenase subunit alpha [Mameliella alba] >dbj|BBU54304.1| formate dehydrogenase subunit alpha [Mameliella alba],1.17.1.9
WP_209010067,947,725,1562.74,0,MULTISPECIES: formate dehydrogenase subunit alpha [unclassified Labrenzia],1.17.1.9
WP_074640789,977,744,1562.36,0,formate dehydrogenase subunit alpha [Celeribacter baekdonensis] >emb|SDE87333.1| formate dehydrogenase alpha subunit [Celeribacter baekdonensis],1.17.1.9
WP_008031368,958,741,1562.36,0,formate dehydrogenase subunit alpha [Rhodobacter sp. SW2] >gb|EEW24636.1| formate dehydrogenase, alpha subunit [Rhodobacter sp. SW2],1.17.1.9
WP_069333281,960,753,1562.36,0,formate dehydrogenase subunit alpha [Cereibacter johrii] >gb|ODM41682.1| formate dehydrogenase subunit alpha [Cereibacter johrii] >gb|PTM79558.1| formate dehydrogenase alpha subunit [Cereibacter johrii],1.17.1.9
WP_088736018,964,745,1561.97,0,formate dehydrogenase subunit alpha [Thioclava sp. F34-6] >gb|OWY11884.1| formate dehydrogenase subunit alpha [Thioclava sp. F34-6],1.17.1.9
WP_108643922,962,738,1561.97,0,formate dehydrogenase subunit alpha [Fuscovulum blasticum] >gb|AWD22277.1| formate dehydrogenase subunit alpha [Fuscovulum blasticum],1.17.1.9
WP_115475746,960,752,1561.97,0,formate dehydrogenase subunit alpha [Cereibacter sphaeroides] >gb|RDS93749.1| formate dehydrogenase subunit alpha [Cereibacter sphaeroides f. sp. denitrificans],1.17.1.9
MBE1290382,965,749,1561.97,0,formate dehydrogenase subunit alpha [Rhodobacteraceae bacterium],1.17.1.9
WP_097174896,956,746,1561.97,0,formate dehydrogenase subunit alpha [Stappia indica] >emb|SOC06858.1| formate dehydrogenase alpha subunit [Stappia indica],1.17.1.9
WP_074622171,965,747,1561.58,0,formate dehydrogenase subunit alpha [Mameliella alba] >gb|OWV48749.1| formate dehydrogenase subunit alpha [Mameliella alba] >gb|PTR39316.1| formate dehydrogenase alpha subunit [Mameliella alba] >dbj|GGF64965.1| formate dehydrogenase subunit alpha [Mameliella alba] >emb|SDD30572.1| formate dehydrogenase major subunit [Mameliella alba],1.17.1.9
WP_228187723,956,747,1561.58,0,formate dehydrogenase subunit alpha [Stappia indica] >gb|MCC4245211.1| formate dehydrogenase subunit alpha [Stappia indica],1.17.1.9
ODM46444,965,748,1561.58,0,formate dehydrogenase subunit alpha [Ruegeria sp. PBVC088],1.17.1.9
WP_075777251,964,745,1561.58,0,formate dehydrogenase subunit alpha [Thioclava nitratireducens] >gb|AQS47090.1| formate dehydrogenase subunit alpha [Thioclava nitratireducens],1.17.1.9
WP_222321844,965,743,1561.58,0,formate dehydrogenase subunit alpha [Pseudooceanicola nitratireducens] >gb|MBY6165329.1| formate dehydrogenase subunit alpha [Pseudooceanicola nitratireducens],1.17.1.9
WP_088723020,964,745,1561.2,0,formate dehydrogenase subunit alpha [Thioclava sp. F42-5] >gb|OWY08759.1| formate dehydrogenase subunit alpha [Thioclava sp. F42-5],1.17.1.9
WP_124255804,960,755,1561.2,0,formate dehydrogenase subunit alpha [Cereibacter sphaeroides] >gb|AZB62501.1| formate dehydrogenase subunit alpha [Cereibacter sphaeroides] >gb|AZB69550.1| formate dehydrogenase subunit alpha [Cereibacter sphaeroides],1.17.1.9
WP_109172557,964,746,1561.2,0,formate dehydrogenase subunit alpha [Thioclava sp. NG1] >gb|PWE49296.1| formate dehydrogenase subunit alpha [Thioclava sp. NG1],1.17.1.9
WP_186388215,956,748,1560.81,0,formate dehydrogenase subunit alpha [Stappia sp. TSB10P1A],1.17.1.9
WP_158193631,956,745,1560.81,0,formate dehydrogenase subunit alpha [Stappia indica] >gb|QGZ34666.1| formate dehydrogenase subunit alpha [Stappia indica],1.17.1.9
ETA50047,972,731,1560.81,0,formate dehydrogenase [Rhodobacteraceae bacterium PD-2] >gb|QRF69011.1| formate dehydrogenase subunit alpha [Rhodobacteraceae bacterium C31],1.17.1.9
WP_219514428,965,746,1560.43,0,formate dehydrogenase subunit alpha [Mameliella sp. CS4] >gb|MBW4983278.1| formate dehydrogenase subunit alpha [Mameliella sp. CS4],1.17.1.9
WP_185925985,956,745,1560.43,0,formate dehydrogenase subunit alpha [Stappia sp. 28M-7] >gb|MBC2860921.1| formate dehydrogenase subunit alpha [Stappia sp. 28M-7],1.17.1.9
WP_127656077,960,736,1560.43,0,MULTISPECIES: formate dehydrogenase subunit alpha [unclassified Ponticoccus (in: Proteobacteria)] >gb|MBM1221494.1| formate dehydrogenase subunit alpha [Ponticoccus sp. SC6-9] >gb|MBM1226535.1| formate dehydrogenase subunit alpha [Ponticoccus sp. SC6-15] >gb|MBM1230486.1| formate dehydrogenase subunit alpha [Ponticoccus sp. SC6-38] >gb|MBM1235009.1| formate dehydrogenase subunit alpha [Ponticoccus sp. SC6-45] >gb|MBM1239507.1| formate dehydrogenase subunit alpha [Ponticoccus sp. SC6-49],1.17.1.9
RTL69203,956,741,1560.43,0,formate dehydrogenase subunit alpha [Hyphomicrobiales bacterium],1.17.1.9
WP_137458408,960,753,1560.43,0,formate dehydrogenase subunit alpha [Cereibacter sphaeroides] >gb|QCP86842.1| formate dehydrogenase subunit alpha [Cereibacter sphaeroides],1.17.1.9
WP_132830402,966,737,1560.04,0,formate dehydrogenase subunit alpha [Antarcticimicrobium sediminis] >gb|TDE36290.1| formate dehydrogenase subunit alpha [Antarcticimicrobium sediminis],1.17.1.9
WP_124253528,960,754,1560.04,0,formate dehydrogenase subunit alpha [Cereibacter sphaeroides] >gb|AZB54090.1| formate dehydrogenase subunit alpha [Cereibacter sphaeroides] >gb|AZB58350.1| formate dehydrogenase subunit alpha [Cereibacter sphaeroides],1.17.1.9
MBF9028519,965,748,1560.04,0,formate dehydrogenase subunit alpha [Rhodobacterales bacterium FZCC0188],1.17.1.9
WP_137699778,965,741,1560.04,0,formate dehydrogenase subunit alpha [Marimonas lutisalis],1.17.1.9
WP_161675833,959,745,1559.66,0,formate dehydrogenase subunit alpha [Pannonibacter sp. XCT-34] >gb|NBN63878.1| formate dehydrogenase subunit alpha [Microvirga tunisiensis],1.17.1.9
WP_067219355,956,745,1559.66,0,formate dehydrogenase subunit alpha [Stappia indica],1.17.1.9
MBF9055326,965,748,1559.66,0,formate dehydrogenase subunit alpha [Rhodobacterales bacterium HKCCA1065],1.17.1.9
